City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vanimo,141.3028,-2.6741,25.27,87,100,1.41,PG,1674251436
1,quatre cocos,57.7625,-20.2078,25.06,89,100,2.84,MU,1674251437
2,vaini,-175.2,-21.2,30.09,84,75,4.12,TO,1674251437
3,port elizabeth,25.5701,-33.918,23.39,92,75,2.57,ZA,1674251345
4,busselton,115.3333,-33.65,20.08,55,0,5.66,AU,1674251438
5,mayo,-76.5119,38.8876,8.49,51,40,7.72,US,1674251439
6,ahipara,173.1667,-35.1667,22.08,59,98,2.7,NZ,1674251439
7,albany,-73.9662,42.6001,3.71,83,100,0.45,US,1674251439
8,butaritari,172.7902,3.0707,27.38,76,37,7.61,KI,1674251440
9,ushuaia,-68.3,-54.8,12.81,71,75,7.72,AR,1674251341
10,kyra,111.9753,49.5776,-27.08,94,100,1.82,RU,1674251441
11,port blair,92.75,11.6667,26.02,73,40,2.57,IN,1674251441
12,bredasdorp,20.0403,-34.5322,20.08,82,5,0.72,ZA,1674251441
13,lebu,-73.65,-37.6167,17.28,75,0,4.33,CL,1674251216
14,luderitz,15.1594,-26.6481,18.67,86,2,8.29,NA,1674251442
15,hermanus,19.2345,-34.4187,18.22,84,0,1.02,ZA,1674251442
16,kodiak,-152.4072,57.79,1.73,80,100,11.32,US,1674251443
17,uvelskiy,61.3574,54.4446,-15.67,82,35,2.51,RU,1674251443
18,rikitea,-134.9692,-23.1203,25.78,72,87,5.19,PF,1674251444
19,tucurui,-49.6725,-3.7661,24.11,86,86,0.97,BR,1674251445
20,port alfred,26.891,-33.5906,22.32,96,49,0.45,ZA,1674251445
21,ndende,11.3581,-2.4008,22.87,97,100,0.39,GA,1674251445
22,puerto ayora,-90.3518,-0.7393,27.98,90,76,2.68,EC,1674251446
23,ginda,78.4932,30.6945,1.43,79,70,3.66,IN,1674251446
24,chokurdakh,147.9167,70.6333,-34.79,99,100,3.17,RU,1674251447
25,punta arenas,-70.9167,-53.15,15.06,58,0,4.12,CL,1674251448
26,sanmenxia,111.1814,34.7747,-2.32,53,0,0.68,CN,1674251448
27,los llanos de aridane,-17.9182,28.6585,16.86,77,75,6.69,ES,1674251449
28,qaanaaq,-69.3632,77.484,-35.37,60,0,3.71,GL,1674251449
29,horsham,-0.3272,51.064,4.24,81,40,3.6,GB,1674251450
30,bluff,168.3333,-46.6,13.09,57,83,4.88,NZ,1674251450
31,provideniya,-173.3,64.3833,-29.69,90,12,2.39,RU,1674251451
32,atuona,-139.0333,-9.8,26.12,72,7,7.83,PF,1674251451
33,nanzhou,112.4024,29.3596,5.44,54,15,2.16,CN,1674251452
34,pointe michel,-61.3833,15.25,25.16,69,6,6.9,DM,1674251452
35,nikolskoye,30.7861,59.7035,-1.06,96,86,1.39,RU,1674251453
36,nanortalik,-45.2371,60.1432,-8.01,57,0,12.73,GL,1674251453
37,kyzyl-suu,78.0056,42.3414,-10.67,58,7,4.3,KG,1674251454
38,yellowknife,-114.3525,62.456,-16.71,85,20,0.0,CA,1674251437
39,jamestown,-79.2353,42.097,1.77,72,100,7.2,US,1674251424
40,kermanshah,47.065,34.3142,-4.5,68,0,5.14,IR,1674251454
41,tuktoyaktuk,-133.0374,69.4541,-22.0,77,75,2.57,CA,1674251455
42,mataura,168.8643,-46.1927,14.35,51,79,2.75,NZ,1674251455
43,mlandizi,38.7333,-6.7,23.7,90,88,1.48,TZ,1674251456
44,sao filipe,-24.4956,14.8961,22.25,69,3,5.91,CV,1674251456
45,kruisfontein,24.7314,-34.0033,22.16,87,94,1.81,ZA,1674251457
46,honningsvag,25.9704,70.9821,2.86,60,0,10.8,NO,1674251457
47,san patricio,-97.5169,28.017,18.05,69,100,6.9,US,1674251458
48,dikson,80.5464,73.5069,-26.15,72,100,14.32,RU,1674251458
49,carnarvon,113.6333,-24.8667,23.21,83,2,6.47,AU,1674251459
50,nautla,-96.7833,20.2167,24.49,74,98,4.38,MX,1674251459
51,skibbereen,-9.2667,51.55,8.39,97,100,2.12,IE,1674251460
52,ugoofaaru,73.0,5.6667,26.97,61,91,4.46,MV,1674251460
53,tambovka,128.0489,50.0969,-45.52,100,58,0.56,RU,1674251461
54,pisco,-76.2167,-13.7,25.03,69,0,9.26,PE,1674251461
55,paamiut,-49.6678,61.994,-18.07,81,18,4.81,GL,1674251462
56,anadyr,177.4833,64.75,-32.72,67,0,5.0,RU,1674251463
57,namibe,12.1522,-15.1961,23.6,76,100,2.62,AO,1674251463
58,hilo,-155.09,19.7297,29.23,56,40,6.26,US,1674251464
59,henties bay,14.2845,-22.116,19.12,84,48,2.91,NA,1674251464
60,arraial do cabo,-42.0278,-22.9661,22.98,94,100,4.12,BR,1674251317
61,kichera,110.0997,55.9375,-33.88,79,23,2.9,RU,1674251465
62,tasiilaq,-37.6368,65.6145,-15.84,88,94,2.36,GL,1674251466
63,new norfolk,147.0587,-42.7826,17.73,67,69,1.13,AU,1674251466
64,lasa,10.7002,46.6166,-2.51,93,85,3.22,IT,1674251467
65,ponta do sol,-17.1,32.6667,16.51,72,19,2.48,PT,1674251467
66,dodge city,-100.0171,37.7528,11.8,37,0,3.58,US,1674251468
67,kemijarvi,27.4306,66.7131,-2.5,92,100,2.71,FI,1674251468
68,aklavik,-135.0107,68.2191,-23.0,84,100,0.0,CA,1674251469
69,cortes,-1.4396,41.9395,5.03,70,16,6.19,ES,1674251470
